theme,url,img,lines,author
MINDFULNESS,/inspirational-quotes/7128-surrender-to-what-is-let-go-of-what-was-have,https://assets.passiton.com/quotes/quote_artwork/7128/medium/20210326_friday_quote.jpg?1616003638,"Surrender to what is, let go of what was, have faith in what will be. ",<Author:0x00007f6971e972f8>
MINDFULNESS,/inspirational-quotes/7351-your-vision-will-become-clear-only-when-you,https://assets.passiton.com/quotes/quote_artwork/7351/medium/20210325_thursday_quote.jpg?1616003614,"Your vision will become clear only when you look into your heart. Who looks outside, dreams. Who looks inside awakens.",<Author:0x00007f6971eb19a0>
MINDFULNESS,/inspirational-quotes/8198-mindfulness-is-not-a-mechanical-process-it-is,https://assets.passiton.com/quotes/quote_artwork/8198/medium/20210324_wednesday_quote.jpg?1616003584,"Mindfulness is not a mechanical process. It is developing a very gentle, kind, and creative awareness to the present moment.",<Author:0x00007f69721a8230>
MINDFULNESS,/inspirational-quotes/7768-a-few-simple-tips-for-life-feet-on-the-ground,https://assets.passiton.com/quotes/quote_artwork/7768/medium/20210323_tuesday_quote.jpg?1616003561,"A few simple tips for life: feet on the ground, head to the skies, heart open-quiet mind.",<Author:0x00007f69721cb0a0>
MINDFULNESS,/inspirational-quotes/7131-mindfulness-is-the-aware-balanced-acceptance,https://assets.passiton.com/quotes/quote_artwork/7131/medium/20210322_monday_quote.jpg?1616003529,"Mindfulness is the aware, balanced acceptance of the present experience... It is opening to or receiving the present moment, pleasant or unpleasant, just as it is, without either clinging to it or rejecting it.",<Author:0x00007f69721e9eb0>
INNOVATION,/inspirational-quotes/8197-creativity-is-thinking-up-new-things,https://assets.passiton.com/quotes/quote_artwork/8197/medium/20210319_friday_quote.jpg?1615507686,Creativity is thinking up new things. Innovation is doing new things.,<Author:0x00007f69721fcc68>
INNOVATION,/inspirational-quotes/7823-innovation-is-taking-two-things-that-already,https://assets.passiton.com/quotes/quote_artwork/7823/medium/20210318_thursday_quote.jpg?1615507664,Innovation is taking two things that already exist and putting them together in a new way.,<Author:0x00007f6972221c70>
INNOVATION,/inspirational-quotes/8196-innovation-is-the-ability-to-see-change-as-an,https://assets.passiton.com/quotes/quote_artwork/8196/medium/20210317_wednesday_quote.jpg?1615507634,Innovation is the ability to see change as an opportunity – not a threat.,<Author:0x00007f6972246098>
INNOVATION,/inspirational-quotes/7826-the-world-needs-dreamers-and-the-world-needs,https://assets.passiton.com/quotes/quote_artwork/7826/medium/20210316_tuesday_quote.jpg?1615507606,The world needs dreamers and the world needs doers. But above all what the world needs most are dreamers that do.,<Author:0x00007f6972268968>
INNOVATION,/inspirational-quotes/7824-what-good-is-an-idea-if-it-remains-an-idea,https://assets.passiton.com/quotes/quote_artwork/7824/medium/20210315_monday_quote.jpg?1615507581,What good is an idea if it remains an idea? Try. Experiment. Iterate. Fail. Try again. Change the world.,<Author:0x00007f697229b548>
DETERMINATION,/inspirational-quotes/7031-nobody-grows-old-by-merely-living-a-number-of,https://assets.passiton.com/quotes/quote_artwork/7031/medium/20210312_friday_quote.jpg?1614900784,"Nobody grows old by merely living a number of years. People grow old by deserting their ideals. Years may wrinkle the skin, but to give up wrinkles the soul.",<Author:0x00007f69722b60a0>
DETERMINATION,/inspirational-quotes/3926-fall-seven-times-stand-up-eight,https://assets.passiton.com/quotes/quote_artwork/3926/medium/20210311_thursday_quote.jpg?1614900744,"Fall seven times, stand up eight.",<Author:0x00007f69722cfe38>
DETERMINATION,/inspirational-quotes/8195-some-succeed-because-they-are-destined-to-but,https://assets.passiton.com/quotes/quote_artwork/8195/medium/20210310_wednesday_quote.jpg?1614900721,"Some succeed because they are destined to, but most succeed because they are determined to.",<Author:0x00007f69722ea058>
DETERMINATION,/inspirational-quotes/6714-if-you-have-made-mistakes-even-serious-ones,https://assets.passiton.com/quotes/quote_artwork/6714/medium/20210309_tuesday_quote.jpg?1614900696,"If you have made mistakes, even serious ones, there is always another chance for you.  What we call failure is not the falling down, but the staying down.",<Author:0x00007f6972301a50>
